id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
922,Steinbach,4292500.0,2987500.0,18225.0,Main,Main,Rhine,DE,,8511,559.6,654.0,886.4,1040.3,1187.9,1378.9,1522.1,1664.7,1852.9,1,0,1,0,0.0,,0.0
924,Kleinheubach,4262500.0,2962500.0,21600.0,Main,Main,Rhine,DE,,8511,587.6,692.6,951.1,1122.3,1286.5,1499.0,1658.2,1816.9,2026.2,0,0,0,1,,0.0,0.0
928,Pettstadt,4392500.0,2967500.0,6975.0,Main,Regnitz,Rhine,DE,,8811,234.9,267.4,347.5,400.5,451.4,517.2,566.6,615.7,680.6,1,0,1,0,0.0,,0.0
930,Alken,4142500.0,3022500.0,27925.0,Moselle,Moselle,Rhine,DE,,4111,1567.4,1835.1,2493.9,2930.0,3348.4,3889.9,4295.7,4700.0,5233.5,1,1,0,0,1.0,1.0,1.0
931,Lauffen,4257500.0,2877500.0,7950.0,Neckar,Neckar,Rhine,DE,,10311,411.9,464.7,594.6,680.6,763.1,869.9,949.9,1029.7,1134.9,1,0,1,0,0.0,,0.0
932,Ziegelhausen AMS,4232500.0,2922500.0,13875.0,Neckar,Neckar,Rhine,DE,,10111,748.5,846.8,1088.8,1249.1,1402.8,1601.7,1750.8,1899.3,2095.3,0,0,0,0,,,
933,Rockenau SKA,4247500.0,2927500.0,12975.0,Neckar,Neckar,Rhine,DE,,10111,728.0,823.4,1058.3,1213.7,1362.9,1555.9,1700.5,1844.7,2034.8,0,0,0,0,,,
934,Hattingen,4127500.0,3147500.0,4225.0,Ruhr,Ruhr,Rhine,DE,,3411,316.3,358.3,461.5,529.9,595.5,680.3,743.9,807.3,890.9,1,0,1,0,0.0,,0.0
953,St. Pieter Noord,4017500.0,3082500.0,21075.0,Meuse,Meuse,Rhine,NL,,2331,1157.6,1341.1,1792.6,2091.6,2378.3,2749.5,3027.7,3304.8,3670.5,1,1,0,0,1.0,1.0,1.0
1356,Chooz,3942500.0,3012500.0,10225.0,Meuse,Meuse,Rhine,BE,,2731,602.6,698.7,935.2,1091.9,1242.1,1436.6,1582.3,1727.5,1919.0,1,1,0,0,1.0,1.0,1.0
1357,Amay,3982500.0,3057500.0,16750.0,Meuse,Meuse,Rhine,BE,,2511,933.4,1094.0,1489.3,1750.9,2001.9,2326.8,2570.3,2812.9,3132.9,1,1,0,0,1.0,1.0,1.0
