station_id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter
5155,Záncara en Provencio,3237500.0,1897500.0,2175.0,Ciguela,Zancara,Guadiana,ES,3.0,1621
256,Beograd,5147500.0,2467500.0,95300.0,Sava,Sava,Danube,RS,,101111
614,Gallego En Sta. Eulalia,3432500.0,2192500.0,1875.0,Gallego,Gallego,Ebro,ES,2.0,4111
1672,Konqul,5282500.0,2222500.0,1675.0,Velika Morava,Binacka Morava,Danube,XK,,83511
1099,Gaulfoss,4332500.0,4447500.0,3200.0,Gaula (Melhus),Gaula (Melhus),Gaula,NO,1.0,1
2292,Blairstone,3447500.0,3717500.0,1725.0,Clyde,Clyde,Clyde,UK,1.0,1
343,Berlingen,4242500.0,2727500.0,11325.0,Rhine,Untersee,Rhine,CH,,15111
2897,HARRSELE KRV,4787500.0,4577500.0,13650.0,Umealven,Umealven,Umealven,SE,1.0,3
4533,Bilaj,4752500.0,2392500.0,1725.0,Sava,Lika,Danube,HR,,108433
4236,Sodevci,4712500.0,2497500.0,1275.0,Sava,Kupa,Danube,SI,,108531
5214,Banja Luka,4892500.0,2432500.0,3450.0,Sava,Vrbas,Danube,BA,,105431
2797,Jarama En Mejorada Del Campo,3172500.0,2022500.0,6975.0,Jarama,Jarama,Tagus,ES,2.0,811
3108,La Sarre à Sarreguemines et à Sarreinsming,4107500.0,2892500.0,3700.0,Moselle,Saar,Rhine,FR,,4211
1901,Le Lot à Faycelles,3687500.0,2417500.0,6850.0,Lot,Lot,Garonne,FR,2.0,231
2188,DRASI,4672500.0,1577500.0,2025.0,Salso,IMERA MERIDIONALE,Salso,IT,1.0,1
3162,L'Alagnon à Lempdes-sur-Allagnon,3792500.0,2497500.0,1100.0,Allier,Alagnon,Loire,FR,,8611
4547,I15 Villar,2987500.0,1747500.0,8075.0,Genil,Genil,Guadalquivir,ES,2.0,411
83,Bad Dueben 1,4502500.0,3162500.0,6050.0,Mulde,United Mulde,Elbe,DE,2.0,6111
